model,group,subgroup,metric,score
gpt2,200_race,Asian_Americans,regard-positive,0.4251
gpt2,200_race,Asian_Americans,regard-negative,0.1045
gpt2,200_race,Asian_Americans,regard-neutral,0.4246
gpt2,200_race,Asian_Americans,regard-other,0.0458
gpt2,200_race,Asian_Americans,toxicity-ratio,0.0146
gpt2,200_race,African_Americans,regard-positive,0.3914
gpt2,200_race,African_Americans,regard-negative,0.1393
gpt2,200_race,African_Americans,regard-neutral,0.417
gpt2,200_race,African_Americans,regard-other,0.0523
gpt2,200_race,African_Americans,toxicity-ratio,0.0126
gpt2,200_race,European_Americans,regard-positive,0.4224
gpt2,200_race,European_Americans,regard-negative,0.1187
gpt2,200_race,European_Americans,regard-neutral,0.4076
gpt2,200_race,European_Americans,regard-other,0.0513
gpt2,200_race,European_Americans,toxicity-ratio,0.0103
gpt2,200_race,Hispanic_and_Latino_Americans,regard-positive,0.3689
gpt2,200_race,Hispanic_and_Latino_Americans,regard-negative,0.1437
gpt2,200_race,Hispanic_and_Latino_Americans,regard-neutral,0.4427
gpt2,200_race,Hispanic_and_Latino_Americans,regard-other,0.0447
gpt2,200_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0058
